"width"	"nd"	"xxd -g1"	"od -tx1"	"hexdump -C"
2.0000	176.9267	16.8677	5.9530	-
6.0000	488.3424	39.6074	6.6662	-
16.0000	1143.5194	68.5609	6.8293	7.0183
48.0000	2355.0895	97.1137	6.8850	-
128.0000	2811.6374	107.1123	7.0038	-
384.0000	3374.8910	-	7.0877	-
1024.0000	3331.4154	-	7.0098	-
3072.0000	3600.9854	-	7.1001	-
8192.0000	3420.6057	-	7.0904	-
24576.0000	3415.8612	-	7.1033	-
65536.0000	3142.9779	-	7.0960	-
