"width"	"nd -Fx -fb"	"xxd -g1 -r"
2.0000	28.3187	23.4585
6.0000	75.3071	31.2877
16.0000	160.9573	37.8371
48.0000	283.5411	42.4428
128.0000	382.1036	42.0273
384.0000	433.1532	-
1024.0000	444.4509	-
3072.0000	458.4534	-
8192.0000	382.2751	-
24576.0000	341.7514	-
65536.0000	256.3890	-
